price_yen,prefecture,year,address,url
4100000,Kagoshima,1977,鹿児島県霧島市牧園町高千穂,https://myhome.nifty.com/chuko/ikkodate/kagoshima/kirishimashi/suumof_72001080/
4100000,Osaka,1971,大阪府守口市金田町,https://myhome.nifty.com/chuko/ikkodate/osaka/moriguchishi/suumof_97702216/
4100000,Mie,1978,三重県伊勢市朝熊町箕曲瀬,https://myhome.nifty.com/chuko/ikkodate/mie/iseshi/yahoof_0018034006/
4100000,Shizuoka,1975,静岡県田方郡函南町畑,https://myhome.nifty.com/chuko/ikkodate/shizuoka/tagatagunkannamicho/yahoof_0017893034/
4100000,Shizuoka,1998,静岡県賀茂郡松崎町松崎291-2,https://myhome.nifty.com/chuko/ikkodate/shizuoka/kamogummatsuzakicho/homesf_01150510000607/
4200000,Hiroshima,1967,広島県広島市中区江波南,https://myhome.nifty.com/chuko/ikkodate/hiroshima/hiroshimashinakaku/suumof_72150921/
4200000,Ehime,1976,愛媛県西条市洲之内甲,https://myhome.nifty.com/chuko/ikkodate/ehime/saijoshi/homesf_37021820000234/
4200000,Kochi,1973,高知県高知市平和町,https://myhome.nifty.com/chuko/ikkodate/kochi/kochishi/suumof_72136086/
4200000,Kochi,1981,高知県高知市佐々木町,https://myhome.nifty.com/chuko/ikkodate/kochi/kochishi/suumof_70635508/
4200000,Okayama,1964,岡山県玉野市奥玉,https://myhome.nifty.com/chuko/ikkodate/okayama/tamanoshi/suumof_70191908/
4200000,Okayama,1972,岡山県津山市総社,https://myhome.nifty.com/chuko/ikkodate/okayama/tsuyamashi/suumof_94678116/
4200000,Kagawa,1974,香川県高松市木太町,https://myhome.nifty.com/chuko/ikkodate/kagawa/takamatsushi/suumof_90124518/
4200000,Kagawa,1980,香川県高松市香西南町,https://myhome.nifty.com/chuko/ikkodate/kagawa/takamatsushi/suumof_71542573/
4200000,Yamaguchi,1970,山口県岩国市海土路町２丁目,https://myhome.nifty.com/ikkodate/detail/?url=https%3A%2F%2Fwww.pitat.com%2FbuyDetail%2FMH01092.html%3Fcvid%3Dnf&=&pref=&b1=4086692&b2=5448922&psid=3980399e6113ee7e1d023224788f32bd698456300d0de76ddadd0f05a2c882e9
4200000,Yamaguchi,1980,山口県柳井市神代,https://myhome.nifty.com/chuko/ikkodate/yamaguchi/yanaishi/suumof_71614707/
4200000,Tokushima,1972,徳島県那賀郡那賀町日浦字森畑,https://myhome.nifty.com/chuko/ikkodate/tokushima/nakagunnakacho/homesf_01074400000631/
