price_yen,prefecture,year,address,url
2700000,Hokkaido,1971,小樽市緑３丁目,https://www.athome.co.jp/kodate/6971120387/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2700000,Hokkaido,1968,釧路市武佐３丁目,https://www.athome.co.jp/kodate/6978152563/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1979,岩見沢市上志文町,https://www.athome.co.jp/kodate/6978213116/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1976,小樽市稲穂５丁目,https://www.athome.co.jp/kodate/6973773602/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1979,小樽市桜５丁目,https://www.athome.co.jp/kodate/6977051350/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1967,小樽市緑３丁目,https://www.athome.co.jp/kodate/6976894531/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1967,小樽市緑３丁目,https://www.athome.co.jp/kodate/6977908565/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1980,白糠郡白糠町庶路基線,https://www.athome.co.jp/kodate/6961327678/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1979,空知郡奈井江町字奈井江,https://www.athome.co.jp/kodate/6978944386/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1973,滝川市江部乙町西１１丁目,https://www.athome.co.jp/kodate/6977690419/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1979,滝川市江部乙町東１１丁目,https://www.athome.co.jp/kodate/6976443906/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1984,美唄市東三条南７丁目,https://www.athome.co.jp/kodate/6977180813/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2800000,Hokkaido,1978,三笠市幸町,https://www.athome.co.jp/kodate/6971914101/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2900000,Hokkaido,1976,岩見沢市幌向南二条５丁目,https://www.athome.co.jp/kodate/6976104235/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2900000,Hokkaido,1977,岩見沢市幌向南三条４丁目,https://www.athome.co.jp/kodate/1084414643/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2900000,Hokkaido,1975,岩見沢市美園四条８丁目,https://www.athome.co.jp/kodate/6977380549/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2900000,Hokkaido,1970,小樽市赤岩２丁目,https://www.athome.co.jp/kodate/6979018517/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2900000,Hokkaido,1971,小樽市赤岩２丁目,https://www.athome.co.jp/kodate/6978967813/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2900000,Hokkaido,1967,小樽市天神１丁目,https://www.athome.co.jp/kodate/6952644951/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2900000,Hokkaido,1973,滝川市有明町５丁目,https://www.athome.co.jp/kodate/6978875250/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2900000,Hokkaido,1982,美唄市進徳町,https://www.athome.co.jp/kodate/6975696290/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2900000,Hokkaido,1974,三笠市柏町,https://www.athome.co.jp/kodate/6976184165/?DOWN=1&BKLISTID=001LPC&sref=list_simple
2900000,Hokkaido,1969,夕張郡栗山町中央４丁目,https://www.athome.co.jp/kodate/6976761344/?DOWN=1&BKLISTID=001LPC&sref=list_simple
3000000,Hokkaido,1977,旭川市近文町２５丁目,https://www.athome.co.jp/kodate/6979003408/?DOWN=1&BKLISTID=001LPC&sref=list_simple
3000000,Hokkaido,1993,石狩市緑ケ原２丁目,https://www.athome.co.jp/kodate/6978241558/?DOWN=1&BKLISTID=001LPC&sref=list_simple
3000000,Hokkaido,1976,岩見沢市春日町４丁目,https://www.athome.co.jp/kodate/6976563214/?DOWN=1&BKLISTID=001LPC&sref=list_simple
